Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,1247.974976,1260.724976,1247.550049,1250.974976,1116.870117,36890
2017-08-10,1249.199951,1260.000000,1243.250000,1255.625000,1121.021606,47260
2017-08-11,1257.000000,1266.650024,1242.500000,1247.000000,1113.321167,76946
2017-08-14,1250.500000,1252.800049,1230.025024,1234.574951,1102.228271,28980
2017-08-16,1248.500000,1273.500000,1233.425049,1245.525024,1112.004517,72664
2017-08-17,1250.000000,1250.000000,1231.000000,1240.074951,1107.138550,43284
2017-08-18,1237.500000,1273.224976,1235.474976,1256.425049,1121.736084,283874
2017-08-21,1256.425049,1271.000000,1247.500000,1260.699951,1125.552490,71410
2017-08-22,1259.949951,1269.000000,1245.500000,1248.025024,1114.236328,36044
2017-08-23,1250.000000,1260.000000,1237.824951,1246.500000,1112.875000,25540
2017-08-24,1237.650024,1257.500000,1237.650024,1247.650024,1113.901733,27694
2017-08-28,1248.000000,1250.974976,1232.000000,1242.925049,1109.683105,42866
2017-08-29,1242.925049,1246.949951,1233.000000,1237.474976,1104.817627,35542
2017-08-30,1243.750000,1245.724976,1230.500000,1243.375000,1110.084839,39944
2017-08-31,1246.000000,1250.000000,1234.000000,1248.375000,1114.548950,456558
2017-09-01,1237.500000,1238.500000,1220.000000,1231.599976,1099.572266,77234
2017-09-04,1228.224976,1231.375000,1220.099976,1228.900024,1097.161621,125536
2017-09-05,1228.900024,1241.250000,1220.000000,1238.824951,1106.022705,55212
2017-09-06,1235.000000,1237.474976,1226.000000,1228.224976,1096.559082,28764
2017-09-07,1228.000000,1233.500000,1226.175049,1229.474976,1097.675049,37994
2017-09-08,1231.500000,1237.500000,1226.974976,1235.074951,1102.674561,56132
2017-09-11,1237.000000,1240.275024,1228.099976,1231.775024,1099.728271,99420
2017-09-12,1232.500000,1247.224976,1228.500000,1243.400024,1110.107056,52032
2017-09-13,1250.000000,1264.025024,1237.675049,1244.050049,1110.687622,125994
2017-09-14,1245.000000,1248.724976,1236.500000,1242.525024,1109.325806,70868
2017-09-15,1246.000000,1257.224976,1243.800049,1249.275024,1115.352539,96160
2017-09-18,1253.500000,1258.449951,1245.550049,1249.525024,1115.575439,44660
2017-09-19,1249.525024,1251.675049,1246.250000,1249.150024,1115.240845,26636
2017-09-20,1249.150024,1252.500000,1239.025024,1246.199951,1112.606689,35934
2017-09-21,1243.750000,1269.849976,1239.974976,1262.925049,1127.539185,59748
2017-09-22,1262.500000,1262.949951,1247.599976,1251.175049,1117.048950,50996
2017-09-25,1264.400024,1266.500000,1247.500000,1254.099976,1119.660156,86234
2017-09-26,1254.099976,1263.000000,1234.000000,1237.449951,1104.794800,124206
2017-09-27,1245.000000,1253.974976,1237.050049,1245.074951,1111.602783,662114
